pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in Awadhpuri, Bhopal",Lodhi Kasturi Habitat Phase 2,₹3 Cr,"₹1,821 /sqft","16,468 sqft","(1,530 sqm)",Plot Area,Ready To Move,"Corner plot , tncp approved , on rcc road","Plot area 16468
(1529.93 sq.m.)
l x b : 151.00 ft.(46.02 mt.) x 106.00 ft.(32.31 mt.)  
sq.ft.","₹ 3 Crore+ Govt Charges & Tax
@ 1,821 per sq.ft. (Negotiable)","Lodhi Kasturi Habitat Phase 2
Awadhpuri, Bhopal",,2.0,Main Road,Immediate,No,,,,,Yes
"Residential land / Plot in Airport Road, Bhopal","Airport Road, Bhopal",₹2.7 Cr,"₹3,501 /sqft","7,710 sqft",(716 sqm),Plot Area,Ready To Move,"The property is East facing, Tubewell with 3 inch of water, 6 feet boundary wall, 4 rooms with washroom constructed, Guard room also constructed, It also has fully grown chikoo tree, mango tree, litchi tree, banana tree, ramphal tree, amla tree, guava tree. And all trees are around 15 years old. The property is close to airport, school, hospital, highway, market, eating joints.","Plot area 7710
(716.28 sq.m.)
l x b : 90.00 ft.(27.43 mt.) x 85.60 ft.(26.09 mt.)  
sq.ft.","₹ 2.7 Crore+ Govt Charges & Tax
@ 3,501 per sq.ft. (All inclusive, Negotiable) View Price Details","Airport Road, Bhopal",East,1.0,,Immediate,,,,Yes,,Yes
Residential land / Plot in Nalgonda Bypass Telangana not bhopal mp,Nalgonda district ramgiri its in Telangana,₹70 Lac,"₹2,196 /sqft","3,006 sqft",(279 sqm),Plot Area,Ready To Move,"We are proud owners of land available for sale in bypass road, nalgonda. Available at price of rs 70 lacs. It has plot area of 334 sq yards. Pond-Side land available for lease/sale perfect for resorts, farmhouse, events & fish farming"" Location: Nalgonda bypass peaceful area, near by natural pond Size: 334 sq. Yards Water source: Pond connectivity best for farming, fish culture, eco-Tourism Ide...","Plot area 334
(279.27 sq.m.)  
sq.yards","₹ 70 Lac
@ 19,760 per sq.yards (Negotiable)","Nalgonda district ramgiri its in Telangana
Nalgonda Bypass Telangana not bhopal mp, Bhopal",South-East,2.0,"Park/Garden,Club,Pool",,,,,Yes,,Yes
"Residential land / Plot in Bhojpur Road, Bhopal","Bhojpur Road, Bhopal",₹17.6 Lac,"₹1,600 /sqft","1,100 sqft",(102 sqm),Plot Area,Ready To Move,It's near by bhojpur mandir and the prine location at obedullaganj road . Very suitable for investment.,"Plot area 1100
(102.19 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 17.6 Lac
@ 1,600 per sq.ft. (Negotiable)","Bhojpur Road, Bhopal",East,2.0,"Pool,Park/Garden,Main Road,Club",,,Yes,,,,Yes
"Residential land / Plot in Huzur, Bhopal",BDA Aerocity Phase 1,₹30.49 Lac,"₹2,100 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,Plot for sale aerocity phase one sector f,"Plot area 1452
(134.9 sq.m.)  
sq.ft.","₹ 30.49 Lac
@ 2,100 per sq.ft. (Negotiable)","BDA Aerocity Phase 1
Huzur, Bhopal",South-East,1.0,,Immediate,No,,29.9 Feet,,,
"Residential land / Plot in Kokta Bypass Road, Bhopal","Kokta Bypass Road, Bhopal",₹35 Lac,₹700 /sqft,"5,000 sqft",(465 sqm),Plot Area,Under Construction,"40fit wide cemented road, water , tample and street light and 24*7 electricity.And very nice area","Plot area 5000
(464.52 sq.m.)  
sq.ft.","₹ 35 Lac
@ 700 per sq.ft. (All inclusive)","Kokta Bypass Road, Bhopal",North-East,1.0,"Main Road,Park/Garden",Within 3 months,,Yes,,,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹1.02 Cr,"₹3,564 /sqft","2,862 sqft",(266 sqm),Plot Area,Ready To Move,"I have a land available for sale in bypass road, mussoorie. Available at price of rs 1.02 crores. It has plot area of 318 sq yards. It is a freehold property","Plot area 318
(265.89 sq.m.)  
sq.yards","₹ 1.02 Crore
@ 32,075 per sq.yards","Bypass Road, Bhopal",,,,Immediate,No,,,,,
"Residential land / Plot in Mandideep, Bhopal",Satlapur shivaji nagar ward 14,₹8.75 Lac,"₹2,260 /sqft",387 sqft,(36 sqm),Plot Area,Ready To Move,"Mp housing board plot for sale, lease paid upto 2050. All dues clear. Thank you","Plot area 387
(35.95 sq.m.)
l x b : 35.00 ft.(10.67 mt.) x 11.00 ft.(3.35 mt.)  
sq.ft.","₹ 8.75 Lac
@ 2,260 per sq.ft. (Negotiable)","Satlapur shivaji nagar ward 14
Mandideep, Bhopal",South,1.0,,Immediate,,,,Yes,3 Floors,
"Residential land / Plot in Ratibad, Bhopal","Akhil Bharti College, kharpa",Price on Request,,800 sqft,(74 sqm),Plot Area,Under Construction,"We are the proud owners of this 0 bhk apartment available in akhil bharti college, ratibad, bhopal. This is a . Price on request. It will be ready for possession within 3 months. it is a resale and an under construction apartment. The unit is located on null floor and has . It has bathroom(s).","Plot area 800
(74.32 sq.m.)
l x b : 20.00 ft.(6.10 mt.) x 4.00 ft.(1.22 mt.)  
sq.ft.",Price on Request,"Akhil Bharti College, kharpa
Ratibad, Bhopal",,2.0,,Within 3 months,Yes,,,,0 Floors,
"Residential land / Plot in Kolar Road, Bhopal",Bima Kunj,₹1.11 Cr,"₹5,400 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,40 feet wide road In danish kunj Premium location,"Plot area 2100
(195.1 sq.m.)
l x b : 35.00 ft.(10.67 mt.) x 6.00 ft.(1.83 mt.)  
sq.ft.","₹ 1.11 Crore
@ 5,400 per sq.ft. (Negotiable)","Bima Kunj
Kolar Road, Bhopal",,1.0,,Immediate,No,,,,0 Floors,
"Residential land / Plot in Jatkhedi, Bhopal",Bundelkhand Golden City,₹28 Lac,"₹4,612 /sqft",607 sqft,(56 sqm),Plot Area,Under Construction,For sale plot 1125 & 607 sq. At bundelkhand golden city near nikhil nationley north facing covered campus 25*45 & 20*30,"Plot area 607
(56.39 sq.m.)  
sq.ft.","₹ 28 Lac
@ 4,612 per sq.ft. (Negotiable)","Bundelkhand Golden City
Jatkhedi, Bhopal",North,2.0,"Park/Garden,Main Road",Within 3 months,,,,,4 Floors,
"Residential land / Plot in Bhanpur, Bhopal",Globus Coral Casa Apartments,₹72 Lac,"₹1,200 /sqft","6,000 sqft",(557 sqm),Plot Area,Ready To Move,Main highway se lagi hui 6000 sqft. Ka coner ka pilot sale karna hai front 110 ft hai or geherai 60ft hai pilot corner ka hai apko jitna bada pilot cahiye bitna bada pilot bhi mil sakta hai 1200 rs sqft ke hisab se agal bagal me warehouse bane hue hai warehouse bana kar 10000 rs monthly rent pe bhi de sakte hai ap ya fir resort or farmhouse ke liye ek no. Spot hai kyuki chocksey dhaba laga hua ...,"Plot area 6000
(557.42 sq.m.)
l x b : 110.00 ft.(33.53 mt.) x 60.00 ft.(18.29 mt.)  
sq.ft.","₹ 72 Lac
@ 1,200 per sq.ft.","Globus Coral Casa Apartments
Bhanpur, Bhopal",,2.0,,Immediate,Yes,,110.0 Feet,Yes,,
"Residential land / Plot in Badwai, Bhopal",Sanskriti City,₹76.74 Lac,"₹5,100 /sqft","1,504 sqft",(140 sqm),Plot Area,Ready To Move,"Looking for buyer to purchase our land available for sale in badwai, bhopal. Available at price of rs 7673970. It has plot area of 1504.7 sqft. It is a freehold property","Plot area 1504.7
(139.79 sq.m.)  
sq.ft.","₹ 76.74 Lac
@ 5,100 per sq.ft.","Sanskriti City
Badwai, Bhopal",,,,Immediate,Yes,,,,3 Floors,
"Residential land / Plot in Shyampur, Bhopal","Shyampur, Bhopal",₹3.5 Cr,₹113 /sqft,"3,08,000 sqft","(28,614 sqm)",Plot Area,Ready To Move,Our land nearby shyampur it is on sehore highway its on there road which are link from shyampur to sehore we want to urgently sell,"Plot area 308000
(28614.14 sq.m.)  
sq.ft.","₹ 3.5 Crore
@ 113 per sq.ft. (Negotiable)","Shyampur, Bhopal",North,4.0,"Main Road,Others",,,,,Yes,,Yes
"Residential land / Plot in Phanda, Bhopal",Khilla Uma Dham,₹12 Lac,₹633 /sqft,"1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Safe and peaceful campus, best option to invest or build house, easily reachable from highway.","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 12 Lac+ Govt Charges & Tax
@ 633 per sq.ft. (Negotiable)","Khilla Uma Dham
Phanda, Bhopal",West,1.0,,Immediate,,Yes,,,3 Floors,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹1.14 Cr,"₹6,500 /sqft","1,750 sqft",(163 sqm),Plot Area,Ready To Move,"Location: Sector a, plot no. 269, sardar vallabh bhai patel awasiya yojana, misrod phase-2, bhopal Type: Residential corner plot Plot size: 1750 sq.Ft. Road facing: Dual side road access, closest to 200 feet proposed master plan road Legal status: Bda approved | tncp approved | rera approved Nearby landmarks: Sagar public school, rohit nagar Salaiya & misrod main area Misrod railway station For...","Plot area 1750
(162.58 sq.m.)  
sq.ft.","₹ 1.14 Crore
@ 6,500 per sq.ft.","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",East,2.0,"Park/Garden,Main Road,Others",,,,,Yes,,Yes
"Residential land / Plot in Neelbad, Bhopal","Neelbad, Bhopal",₹12 Lac,"₹1,714 /sqft",700 sqft,(65 sqm),Plot Area,Ready To Move,Millennium college back side Sudershan colony gora gaon neelbad bhopal,"Plot area 700
(65.03 sq.m.)
l x b : 35.00 ft.(10.67 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 12 Lac
@ 1,714 per sq.ft.","Neelbad, Bhopal",East,1.0,,Immediate,Yes,,20.0 Feet,,,
"Residential land / Plot in Neelbad, Bhopal",Siddhivinayak face 2,₹21 Lac,"₹2,654 /sqft",791 sqft,(73 sqm),Plot Area,Ready To Move,Sale karna hai,"Plot area 791
(73.49 sq.m.)  
sq.ft.","₹ 21 Lac
@ 2,654 per sq.ft. (Negotiable)","Siddhivinayak face 2
Neelbad, Bhopal",West,1.0,"Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Phanda Kala, Bhopal","Sehore Road, Bhopal Indore Road, Jai Form",₹80 Lac,₹533 /sqft,"15,000 sqft","(1,394 sqm)",Plot Area,Ready To Move,"There are two farm house plot , corner plot....All paper work is genuine....Well planned ....I am serving in indian army thus personally i won't be available to show the property on ground however , whenever i would come to bhopal. I can meet and do the needful...... Brokers can also contact but terms would be different.","Plot area 15000
(1393.55 sq.m.)  
sq.ft.","₹ 80 Lac
@ 533 per sq.ft. (All inclusive)","Sehore Road, Bhopal Indore Road, Jai Form
Phanda Kala, Bhopal",East,2.0,,Immediate,,,,,0 Floors,Yes
"Residential land / Plot in Barkheda Nathu, Bhopal","Barkheda Nathu, Bhopal",₹12 Lac,"₹1,200 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,"Planning to purchase a plot in bhopal? This plot in barkheda nathu is situated in one of the excellent locations of the city. The plot is around super built up area of 1000 sq.Ft. In size. Here, a solid foundation can easily withhold construction of 4 floors. The possession of the property can be received immediately. The property belongs to owner through freehold ownership. This residential pl...","Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 12 Lac+ Govt Charges & Tax
@ 1,200 per sq.ft. (Negotiable)","Barkheda Nathu, Bhopal",,1.0,Main Road,Immediate,No,,,,4 Floors,
"Residential land / Plot in Ayodhya Bypass , NEAR AYODHYA NAGAR, Bhopal",SEWANIA OMKARA,₹2.64 Cr,"₹1,000 /sqft","26,400 sqft","(2,453 sqm)",Plot Area,Ready To Move,"2 side roads , touch of 35 feet goverment road & approx 100m distance of 66 feet master plan gov.Main road, plot/land in prime & best location in bhopal, center of ayodhya bypass & ring road,near azim prem ji univercity ,close to all amenities,best places for home construction / commercial investment. Suitable for singlesx and duplexes. * close to all facilitys * close to schools, Collage,mall,...","Plot area 26400
(2452.64 sq.m.)  
sq.ft.","₹ 2.64 Crore
@ 1,000 per sq.ft. (Negotiable)","SEWANIA OMKARA
Ayodhya Bypass , NEAR AYODHYA NAGAR, Bhopal",,1.0,Main Road,Immediate,Yes,,,,,
"Residential land / Plot in Bhojpur Road, Bhopal",Green Meadows,₹36 Lac,"₹3,000 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,Plot size 24 x 50 at green meadows,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","₹ 36 Lac
@ 3,000 per sq.ft. (Negotiable) View Price Details","Green Meadows
Bhojpur Road, Bhopal",North-East,1.0,,Immediate,Yes,Yes,,,,
"Residential land / Plot in Acharpura, Bhopal","Acharpura, Bhopal",₹16 Lac,"₹1,333 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,Planning to purchase a plot in bhopal? This plot in industeral area acharpura is situated in one of the excellent locations of the city. It spreads over 1200 sq.Ft. Super built up area. Up to 3 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The owner of the property has freehold entitlement over the land. The as...,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","₹ 16 Lac
@ 1,333 per sq.ft. (Negotiable)","Acharpura, Bhopal",North-East,2.0,,Immediate,Yes,,,,3 Floors,
"Residential land / Plot in Peepalner, Bhopal",Signature Park,₹62.5 Lac,"₹5,000 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,"Residential plot for sale signature park, peepalner, bhopal This 1250 sqft residential plot in signature park, peepalner is an excellent choice. The area is well-Developed, peaceful, and already surrounded by beautiful villas and duplex houses, ensuring a premium neighborhood. Key highlights: Plot size: 1250 sqft Location: Signature park, peepalner, bhopal Near bhopal airport and bda colony Dev...","Plot area 1250
(116.13 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 62.5 Lac+ Govt Charges & Tax
@ 5,000 per sq.ft.","Signature Park
Peepalner, Bhopal",West,2.0,"Park/Garden,Club,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Sanjeev Nagar, Bhopal","Sanjeev Nagar, Bhopal",₹1 Cr,"₹4,166 /sqft","2,400 sqft",(223 sqm),Plot Area,Ready To Move,"I am looking for buyer to purchase land available for sale in sanjeev nagar, bhopal. Available at price of rs 10000000. It has plot area of 2400 sqft. It is a freehold property","Plot area 2400
(222.97 sq.m.)  
sq.ft.","₹ 1 Crore
@ 4,166 per sq.ft.","Sanjeev Nagar, Bhopal",,,,Immediate,No,,,Yes,,
"Residential land / Plot in Barkheda Bonder, Bhopal","Barkheda Bonder, Bhopal",₹70 Lac,"₹1,000 /sqft","7,000 sqft",(650 sqm),Plot Area,Ready To Move,Having boundary wall with bore West facing You can build your dream farmhouse here 4km away from airport Easy connectivity All weather wbc road Corner plot With two sides road Just 1.5 km from main highway,"Plot area 7000
(650.32 sq.m.)  
sq.ft.","₹ 70 Lac+ Govt Charges & Tax
@ 1,000 per sq.ft. (All inclusive, Negotiable)","Barkheda Bonder, Bhopal",West,2.0,,Immediate,Yes,,,,2 Floors,
"Residential land / Plot in Malikhedi, Bhopal","Malikhedi, Bhopal",₹7.2 Lac,"₹1,200 /sqft",600 sqft,(56 sqm),Plot Area,Ready To Move,"Paye aapne sapno ka ghar km kimat pr best location pr sabhi suvidha ke sath facility uplabdh coverd compus, bijli paani ki suvidha , mandir rcc road argent sale plot lene ke liye call kre","Plot area 600
(55.74 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 7.2 Lac
@ 1,200 per sq.ft. (All inclusive)","Malikhedi, Bhopal",North-East,4.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Malikhedi, Bhopal","Malikhedi, Bhopal",₹6 Lac,"₹1,000 /sqft",600 sqft,(56 sqm),Plot Area,Ready To Move,"Radhe krishna phase -2 , paye aapne sapno ka ghar ek behtar location pr , facility uplabdh cover compus, paani bijli ki subidha , main road se lga hua finance suvidha ke sath uplabdh , kuchh hi plote khali hai jaldi lene ke liye msg kre argent sell","Plot area 600
(55.74 sq.m.)
l x b : 20.00 ft.(6.10 mt.) x 3.00 ft.(0.91 mt.)  
sq.ft.","₹ 6 Lac
@ 1,000 per sq.ft. (All inclusive)","Malikhedi, Bhopal",North-West,4.0,Main Road,Immediate,,,,,,Yes
"Residential land / Plot in Bagh Umrao Dulha, Bhopal","Bagh Umrao Dulha, Bhopal",₹50 Lac,"₹6,875 /sqft",800 sqft,(74 sqm),Plot Area,Ready To Move,"Column, foundation, septic tank ready, with water and electric connection","Plot area 800
(74.32 sq.m.)
l x b : 29.00 ft.(8.84 mt.) x 28.00 ft.(8.53 mt.)  
sq.ft.","₹ 50 Lac
@ 6,875 per sq.ft. (All inclusive, Negotiable)","Bagh Umrao Dulha, Bhopal",South,1.0,,Immediate,Yes,,,Yes,,
"Residential land / Plot in Barkheda Bonder, Bhopal","Barkheda Bonder, Bhopal",₹26.35 Lac,₹479 /sqft,"5,500 sqft",(511 sqm),Plot Area,Under Construction,The property is nearer to the main bhouri bypass road and the whole site is corner site whose rate is convenient for costomers also site is well developed,"Plot area 5500
(510.97 sq.m.)
l x b : 125.00 ft.(38.10 mt.) x 45.00 ft.(13.72 mt.)  
sq.ft.","₹ 26.35 Lac+ Govt Charges & Tax
@ 479 per sq.ft. (All inclusive, Negotiable) View Price Details","Barkheda Bonder, Bhopal",North,2.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Ratibad, Bhopal","Ratibad, Bhopal",₹31.5 Lac,₹700 /sqft,"4,500 sqft",(418 sqm),Plot Area,Under Construction,"The land size is 4500 sqft -Length 50 breadth 90 is located in sikandrabad, ratibad bhopal near sagar college and ayurvindo college. Main damar road se 3rd plot best place in investment","Plot area 4500
(418.06 sq.m.)  
sq.ft.","₹ 31.5 Lac
@ 700 per sq.ft. (Negotiable)","Ratibad, Bhopal",West,2.0,Main Road,Within 3 months,No,,,,,
"Residential land / Plot in Rasla Khedi, Bhopal","Rasla Khedi, Bhopal",₹7.5 Lac,"₹1,250 /sqft",600 sqft,(56 sqm),Plot Area,Under Construction,Greeting greatness from the gound up,"Plot area 600
(55.74 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 7.5 Lac
@ 1,250 per sq.ft. (Negotiable)","Rasla Khedi, Bhopal",North-East,2.0,"Park/Garden,Main Road,Others",Within 6 months,,Yes,,,,
"Residential land / Plot in Huzur, Bhopal","Huzur, Bhopal",₹44 Lac,"₹5,500 /sqft",800 sqft,(74 sqm),Plot Area,Ready To Move,"For those looking to buy a residential property, here comes one of the choicest offerings in bhopal, at bagmugaliya West facing plot available at project name vrindavan residency, bagmugaliya.","Plot area 800
(74.32 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 44 Lac+ Govt Charges & Tax
@ 5,500 per sq.ft. (Negotiable)","Huzur, Bhopal",West,1.0,"Park/Garden,Main Road,Others",Immediate,,Yes,,,,
"Residential land / Plot in Acharpura, Bhopal","Acharpura, Bhopal",₹1.15 Cr,"₹2,400 /sqft","4,800 sqft",(446 sqm),Plot Area,Ready To Move,Main road plot Near industrial area acharpura 250m near bhopal- Bypass main market More rental growth from industrial workers With n. O. C and diversion complete,"Plot area 4800
(445.93 sq.m.)
l x b : 120.00 ft.(36.57 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 1.15 Crore
@ 2,400 per sq.ft. (All inclusive, Negotiable)","Acharpura, Bhopal",North-East,2.0,,Immediate,,,,Yes,,Yes
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹20 Lac,"₹2,857 /sqft",700 sqft,(65 sqm),Plot Area,Ready To Move,"We have a land available for sale in bypass road, satna. Available at price of rs 20 lacs. It has plot area of 700 sq ft. It is a freehold property","Plot area 700
(65.03 sq.m.)  
sq.ft.","₹ 20 Lac
@ 2,857 per sq.ft.","Bypass Road, Bhopal",,,,Immediate,No,Yes,,,,
