pname,society,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area
"2 Bedroom House for sale in Neelbad, Bhopal",neelbad,50.0,3267,Ready To Move,Corner house with boring facility,"Plot area 1530
(142.14 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,"['1 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,1,Not Available,1530.46
"5 Bedroom House for sale in Ayodhya Bypass , Bhopal",tirupati abhinav homes,275.0,12500,Ready To Move,"An independent villa available for sale at an excellent location in ayodhya bypass nearby people's mall in bhopal. The independent villa is smartly planned with vastu principles. This ready to move individual villa is located in a covered campus with all the necessary amenities. What adds value to this villa is vastu principles, corner located, complete fall ceiling and many more....","Plot area 2200
(204.39 sq.m.)
Built Up area: 3600 sq.ft. (334.45 sq.m.)  
sq.ft.",,NA,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Waste Disposal']","Pool,Club,Park/Garden,Main Road,Others",5,4,2,Not Available,2200.0
"2 Bedroom House for sale in Chopra Kalan, Vidisha road, Bhopal",chopra kalan vidisha road,45.0,3750,Ready To Move,"Fully furnished property with premium interiors and all essential electronics included. Located near bhanpur peoples mall, offering excellent connectivity and convenience. Ready-To-Move with superior build quality and thoughtfully designed interiors for a comfortable lifestyle.","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1,South-West,1 to 5 Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '1 Geyser', '30 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '2 Wardrobe', '1 Sofa', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine']","['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Low Density Society']",,2,2,1, pooja room,1200.0
"4 Bedroom House for sale in noor mahal ashok colony, Bhopal",noor mahal ashok colony,250.0,9259,Ready To Move,"Property for sale house with commercial space in noormahal ashok colony, bhopal","Plot area 2700
(250.84 sq.m.)
Built Up area: 5400 sq.ft. (501.68 sq.m.)
Carpet area: 4900 sq.ft. (455.22 sq.m.)  
sq.ft.",1,North-East,10+ Year Old,"['2 Bed', '4 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Geyser', '15 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","Park/Garden,Main Road",4,3,2," study room,servant room",2700.08
"3 Bedroom House for sale in Kolar, Bhopal",onyx palace lalita nagar,75.0,7894,Ready To Move,"Property for sale at 75 lacs negotiable + govt charges,(20 year old property) just 100 meters from 4lane main road priyanka nagar and 1 kms from 6 lane road House amenities: It has well maintained independent duplex with 1 large hall , 3 spacious bedrooms, spacious kitchen, 2 washrooms , sufficient space at front for four wheeler parking along with 2 wheeler, newly constructed concrete underground water tank for sufficient water storage, sufficient space for garden , and little space at back side for clothes washing, one large tarrace at 1 st floor , this location is very demanding so grab it as soon as possible before it gets sold out.","Plot area 1200
(111.48 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.",1,West,10+ Year Old,,"['Private Garden / Terrace', 'Water Storage']",Others,3,2,2,Not Available,950.09
"3 Bedroom House for sale in Kolar Road, Bhopal",banjari dussehra maidan,185.0,12333,Under Construction,"Kolar road is an ideal location for buying residential plots in bhopal. This plot in kolar road is a great buy for you. It's 1500 sq.Ft. Super built up area property. Ownership of this property provides you entitlement to construct up to 1 floor. The boundary wall is already built around the plot. To build the residence, possession is expected immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 1.85 crore and it is negotiable. This residential plot is in the west-Facing direction. This property is located very close to school, close to the hospital and close to the market etc.","Plot area 1500
(139.35 sq.m.)  
sq.ft.",1,West,,,['Water Storage'],Main Road,3,3,1,Not Available,1500.04
"3 Bedroom House for sale in Bypass Road, Bhopal",geet mohini phase vi,75.0,6818,Ready To Move,"I have a house/villa available for sale in bypass road, ayodhya. Available at price of rs 75 lacs. It has plot area of 1100 sq ft. It has 4 bhk, 3 bathroom, balcony.It is a freehold property","Plot area 1100
(102.19 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,3,3,0,Not Available,1100.03
"4 Bedroom House for sale in Gopal Nagar, Bhopal",gopal nagar sector b,79.5,4542,Ready To Move,Very spacious and well built villa at a distance of 500 meters from main road connecting piplani and raisen road. One of the best gyms of bhopal at a distance of 300 meters. Very peaceful location just in front of gharonda heights. Lots of open and empty space both at ground floor and 1st floor. Rani kamlapati railway station at exact distance of 9.5 kms from villa. Main railway station at exact distance of 15 kms from villa. Parking space for one 4 wheeler which can be converted to another room if required by purchaser,"Plot area 1750
(162.58 sq.m.)
Built Up area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.",2,West,10+ Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace']",,4,4,1,Not Available,1750.33
"4 Bedroom House for sale in Kolar Road, Bhopal",danish hills view,225.0,18000,Ready To Move,"We are proud owners of house/villa available for sale in kolar road, bhopal. Available at price of rs 2.25 crores. It has plot area of 1250 sq ft. It has huge living room, 4 bhk, 4 bathrooms,2 balcony, cctv cameras, solar panels fitted.It is a freehold property. It has a vacuum tubular lift fitted inside the house. It has huge living area and a guest room on ground floor.","Plot area 1250
(116.13 sq.m.)  
sq.ft.",3,North-East,0 to 1 Year Old,"['1 Water Purifier', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '1 Stove', '6 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Fan', 'No Light', 'No Fridge']",['Private Garden / Terrace'],,4,4,2,Not Available,1250.0
"4 Bedroom House for sale in Jatkhedi, Bhopal",rakhi shankaracharya flower city,125.0,6250,Ready To Move,"Garden facing; Gated community (Secure as flat); 1 km from ashima mall on hoshangabad road. Markets, schools, university and hospitals nearby.","Plot area 1265
(117.52 sq.m.)
Built Up area: 2800 sq.ft. (260.13 sq.m.)
Carpet area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",Park/Garden,4,3,2," pooja room,store room",2000.0
"2 Bedroom House for sale in Barrai, Bhopal",barrai,76.0,5974,Ready To Move,"Own boring, garden facing, cctv camera","Plot area 1272
(118.17 sq.m.)  
sq.ft.",1,East,1 to 5 Year Old,"['1 Exhaust Fan', '1 Stove', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Park']",Park/Garden,2,3,0,Not Available,1272.18
"5 Bedroom House for sale in Teela Jamalpura, Bhopal",teela jamalpura,65.0,4333,Ready To Move,"5 bhk spacious house for sale in teela jamalpura, bhopal (Old city)","Plot area 1500
(139.35 sq.m.)  
sq.ft.",1,South,1 to 5 Year Old,"['4 Fan', '1 Exhaust Fan', '1 Geyser', '7 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', '2 Wardrobe', '1 Bed', '1 Sofa', '1 Washing Machine', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Water Purifier']","['Water Storage', 'Natural Light', 'Airy Rooms']",Main Road,5,3,1, others,1500.12
"6 Bedroom House for sale in Shankar Nagar, Bhopal",shankar nagar,550.0,18272,Ready To Move,Heres a polished property description you can use:,"Plot area 3010
(279.64 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.",2,North,10+ Year Old,"['3 Wardrobe', '6 Fan', '14 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",Others,6,6,3," study room,others",3010.07
"3 Bedroom House for sale in Bawadia Kalan, Bhopal",fortune pride extension,135.0,10869,Ready To Move,"This 3 bhk house for sale in bawadia kalan, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This house occupies a super built up area of 1200 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 1.35 crore. All the modern amenities such as maintenance staff, park and visitor parking will make life easier for you. Municipal corporation and borewell/tank provides a regular supply of water to this residential house. The residential house is east-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 1200
(111.48 sq.m.)  
sq.ft.",2,West,10+ Year Old,"['3 Wardrobe', '3 Fan', '5 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,3,3,2,Not Available,1242.06
"6 Bedroom House for sale in Trilanga, Bhopal",trilanga,300.0,14285,Ready To Move,"A beautiful 6 bhk ready to move house for sell in prime location of trilanga.3bhk on ground floor,2bhk on 1st floor and 1bhk on 2nd floor with garden terrace.","Plot area 2100
(195.1 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,"['6 Fan', '1 Fridge', '1 Sofa', '5 Geyser', '1 Washing Machine', '1 Microwave', '1 Stove', '7 Light', '3 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No TV', 'No Wardrobe', 'No Water Purifier']",['Private Garden / Terrace'],,6,5,2, pooja room,2100.11
"3 Bedroom House for sale in Bagmugaliya, Bhopal",bagmugaliya,92.0,7829,Ready To Move,"For sale 3bhk bungalow covered campus, Semi furnished both side balcony stairs up to rooftop","Plot area 1175
(109.16 sq.m.)  
sq.ft.",2,West,1 to 5 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '11 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Main Road",3,3,2," others,study room",1175.12
"4 Bedroom House for sale in Bagmugaliya, Bhopal",flower city,125.0,9881,Ready To Move,"4bhk semi furnished bungalow for sale Covered and secured campus, West and park facing, Good locality, good cross ventilation,","Plot area 1265
(117.52 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,"['2 Wardrobe', '5 Fan', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Others",4,3,2, others,1265.05
"3 Bedroom House for sale in Peace Valley-1, Narela Shankari, Bhopal",peace valley-1 narela shankari,55.0,7935,Ready To Move,Duplex in a covered society with a small garden in the society with parking.,"Plot area 64.39  
sq.m.",2,NA,10+ Year Old,,,,3,2,1,Not Available,693.13
"3 Bedroom House for sale in Ayodhya Bypass , Bhopal",sagar estate,75.0,5281,Ready To Move,"Spacious duplex in sagar estates on main ayodhya bypass road, between ayodhya chouraha and minal gate-3.","Plot area 1000
(92.9 sq.m.)
Built Up area: 1420 sq.ft. (131.92 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.",2,North,10+ Year Old,,"['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Waste Disposal']",,3,2,1,Not Available,1420.19
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",fortune delight,135.0,11474,Ready To Move,80 ft cc road. Covered society Secured campus Corner plot with extra land for lawn Well furnished with extra development on terrace,"Plot area 1176.52
(109.3 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Geyser', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Park'],"Park/Garden,Main Road",4,3,2,Not Available,1176.57
"4 Bedroom House for sale in Bagsewaniya, Bhopal",bagsewaniya,295.0,10350,Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in bagsewaniya, bhopal seems to be an ideal choice for a peaceful abode for a family. The house has over super built up area of 2850 sq.Ft. And comes with 4 bedrooms, 4 bathrooms and 1 balcony. Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house is freehold. The price of this spacious independent house is 2.95 crore.","Plot area 2850
(264.77 sq.m.)  
sq.ft.",2,East,0 to 1 Year Old,"['8 Wardrobe', '1 Stove', '1 Microwave', '99 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","Pool,Park/Garden,Club",4,4,1, pooja room,2850.24
"3 Bedroom House for sale in Karond Chouraha, Bhopal",karond chouraha,210.0,26250,Ready To Move,Situated on ayodhya bypass road karond square Commercial shop of 800 sqft @ground floor 2bhk residential 1st floor,"Plot area 800
(74.32 sq.m.)
Built Up area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.",2,South,10+ Year Old,,,Main Road,3,2,1,Not Available,800.0
"3 Bedroom House for sale in Rajat Bihar Colony, Bhopal",rajat bihar colony,135.0,11250,Ready To Move,Main road facing property in rajat vihar location.,"Plot area 1200
(111.48 sq.m.)  
sq.ft.",2,NA,10+ Year Old,,,Main Road,3,4,1, pooja room,1200.0
"4 Bedroom House for sale in Kalapani, Bhopal",kalapani,55.0,6111,Ready To Move,Park facing 6 line road available 22 feat colony road facility guard indore six line road manjur hai,"Plot area 900
(83.61 sq.m.)
Carpet area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.",2,North,0 to 1 Year Old,,['Water Storage'],"Park/Garden,Main Road,Others",4,2,2, others,900.02
