society,colony,property_type,price,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,mainarea,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
city tower,peer gate area,House,476.18,19047,4.0,North,7,4,2,2500.0,0,0,0,0,0,0,1,6,Road Facing Homes
fame lalita nagar,lalgathi,Flat,22.5,3103,2.0,,2,2,2,725.0,0,0,0,0,0,0,1,0,Road Facing Homes
jawahar nagar,bypass road,House,52.0,2600,2.0,,3,2,1,2000.0,0,0,0,0,0,0,1,0,Road Facing Homes
ravidas nagar,bhopal,House,129.96,2888,2.0,,5,3,0,4500.0,0,0,0,0,0,0,1,0,Road Facing Homes
aadhhaar symphony,kolar road,Flat,40.0,3636,7.0,,2,2,2,1100.0,0,0,0,0,0,0,1,45,Road Facing Homes
chuna bhati,chuna bhatti,Flat,43.2,3600,2.0,East,2,2,2,1200.0,0,0,0,0,1,0,1,28,Road Facing Homes
sneh nagar,bhopal,House,100.0,9671,2.0,,3,3,1,1034.0,0,0,0,0,0,0,1,0,Road Facing Homes
ripl maple tree,gandhinagar,Flat,45.0,2830,4.0,,3,2,1,1590.0,0,0,0,0,1,0,1,30,Amenity Facing Homes
navaakar parke serene,gehu kheda,Flat,28.59,2723,5.0,,3,2,2,1050.0,0,0,0,0,0,0,2,8,Road Facing Homes
sterling pride city,katara hills,House,85.0,7391,2.0,West,4,3,1,1150.0,0,0,0,0,0,0,1,4,Amenity Facing Homes
manak vihar,bhopal,House,150.0,5000,2.0,,9,7,1,3000.0,0,0,0,1,0,0,1,39,Road Facing Homes
citi vistaar,gehu kheda,Flat,42.0,2663,4.0,East,2,2,2,1577.0,1,1,0,1,1,0,0,46,Green View Homes
amaltas westminster,ayodhya bypass,Flat,26.88,6250,7.0,,2,1,1,430.0,0,0,0,0,0,0,1,51,Amenity Facing Homes
vijay stambh,central bhopal,Flat,60.0,6309,8.0,,2,2,1,951.0,0,0,0,0,0,0,1,28,Green View Homes
ibd hallmark citii,mahawadiya,Flat,24.99,2325,0.0,West,3,2,3,1075.0,0,0,0,0,0,0,1,9,Green View Homes
vishnu hitech city,bawadia kalan,Flat,55.0,4583,1.0,East,3,2,2,1200.0,0,0,0,0,0,0,2,22,Amenity Facing Homes
ag8 aakriti highlands,outside bhopal,House,35.0,3333,2.0,,2,2,2,1050.0,0,0,0,0,0,0,1,23,Road Facing Homes
apartment,navi bagh,Flat,16.0,2162,1.0,,2,2,1,740.0,0,0,0,0,0,0,1,0,Road Facing Homes
green heights,shahpura,Flat,75.0,6000,1.0,East,3,3,2,1250.0,0,0,0,0,0,0,0,30,Road Facing Homes
shankracharya nagar,aishbagh,House,85.0,7083,2.0,West,3,3,1,1200.0,0,0,0,1,0,0,1,0,Green View Homes
indus realty,mandideep,Flat,13.57,1428,0.0,,2,2,1,950.0,0,0,0,0,0,0,1,21,Road Facing Homes
ayodhya nagar,ayodhya bypass,House,24.0,3692,1.0,,2,1,1,650.0,0,0,0,0,0,0,1,3,Road Facing Homes
bagmugaliya,bagmugaliya,House,100.0,10000,2.0,East,3,2,2,1000.0,0,0,0,0,0,0,1,14,Road Facing Homes
tulsi tower,central bhopal,Flat,449.98,16363,3.0,East,4,5,3,2750.0,0,1,0,0,0,0,2,35,Premium Scenic Homes
tilak society,lalgathi,House,113.43,8402,2.0,East,3,3,1,1350.0,0,0,0,0,0,0,1,13,Road Facing Homes
mayur homes,bhopal,House,17.99,2142,,East,2,1,0,840.0,0,0,0,0,1,0,1,77,Amenity Facing Homes
globus green bay,outside bhopal,Flat,25.0,3012,5.0,North,2,2,1,830.0,0,0,0,0,0,0,1,67,Green View Homes
danish kunj,gehu kheda,House,112.0,7000,,,3,3,1,1600.0,0,0,0,0,0,0,1,12,Green View Homes
saket nagar,habib ganj,House,206.48,8003,2.0,West,5,3,1,2580.0,0,0,0,0,1,0,1,14,Road Facing Homes
regal town,awadhpuri,Flat,36.0,3478,4.0,North,3,3,3,1035.0,0,0,0,0,0,0,1,46,Amenity Facing Homes
signature residency,shirdipuram,House,115.0,7986,,East,3,3,2,1440.0,1,0,0,1,0,0,2,83,Green View Homes
hoshangabad road,hoshangabad road,House,25.0,2500,1.0,,2,2,2,1000.0,0,0,0,0,0,0,1,48,Green View Homes
agrawal sagar green hills,kolar road,Flat,55.0,5319,4.0,,3,2,1,1034.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
deep shree homes awadhpuri,awadhpuri,House,74.99,7142,2.0,East,3,2,1,1050.0,0,0,0,0,1,0,1,13,Green View Homes
natraj society,misrod,Flat,21.99,3142,2.0,,2,2,1,700.0,0,0,0,0,0,0,1,45,Road Facing Homes
unitech unihomes 2,chuna bhatti,Flat,41.0,2523,1.0,North,3,3,3,1625.0,0,0,0,0,0,0,1,0,Road Facing Homes
aakrati olive,bawadia kalan,Flat,72.0,5760,4.0,East,3,3,2,1250.0,0,0,0,0,0,0,2,24,Road Facing Homes
awadhpuri,awadhpuri,House,79.99,6666,1.0,,4,2,2,1200.0,0,0,0,0,0,0,1,9,Green View Homes
shri parasnath sheetal tower,lalgathi,Flat,62.0,4769,2.0,,4,3,3,1300.0,0,0,0,0,1,0,1,31,Road Facing Homes
aishbagh,aishbagh,House,65.0,10833,2.0,North,10,5,3,600.0,0,0,0,0,0,0,1,8,Green View Homes
housing board colony,karond,House,148.1,8228,2.0,,3,2,1,1800.0,0,0,0,0,0,0,1,9,Road Facing Homes
natraj society,misrod,Flat,18.92,2503,1.0,,2,2,2,756.0,0,0,0,0,0,0,1,45,Road Facing Homes
app,bhopal,Flat,35.0,3500,1.0,East,3,2,1,1000.0,0,0,0,0,0,0,0,3,Road Facing Homes
lala lajpat rai society,arera colony,Flat,15.0,3000,1.0,,2,2,1,500.0,0,0,0,0,0,0,1,0,Road Facing Homes
lakhumal nikhil nestles,hoshangabad road,Flat,22.5,2500,6.0,West,2,2,2,900.0,0,0,0,0,0,0,0,73,Green View Homes
archana balaji towers,patel nagar,Flat,25.0,2500,2.0,,2,2,2,1000.0,0,0,0,0,0,0,1,11,Road Facing Homes
sonagiri chanchal nagar,piplani,House,85.0,8500,2.0,,3,2,2,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
b sector shahpura,shahpura,House,822.4,20560,2.0,East,5,5,3,4000.0,1,1,1,1,0,0,0,38,Road Facing Homes
basant kunj,bhopal,House,488.88,12222,2.0,North,5,5,3,4000.0,0,0,0,0,0,0,1,0,Green View Homes
new pm awas yojna,karond,Flat,29.5,3881,7.0,,2,2,2,760.0,0,0,0,0,0,0,2,0,Road Facing Homes
baghmugaliya,bhopal,Flat,14.0,3500,1.0,West,1,1,1,400.0,0,0,0,0,0,0,1,0,Road Facing Homes
ibd hallmark citii,mahawadiya,Flat,25.0,3125,2.0,,3,2,3,800.0,0,0,0,0,0,0,0,15,Green View Homes
ananda dhara apartments,bypass road,Flat,23.99,2696,5.0,,3,2,1,890.0,0,0,0,0,0,0,1,0,Road Facing Homes
12no. bus stop multi,arera colony,Flat,65.0,6500,1.0,,3,2,2,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
aadhhaar symphony,kolar road,Flat,35.0,3271,7.0,,2,2,1,1070.0,0,0,0,0,0,0,1,45,Road Facing Homes
keelandev tower,central bhopal,Flat,118.0,9291,5.0,,2,2,2,1270.0,0,0,0,0,0,0,1,35,Premium Scenic Homes
gauri shankar parisar,katara hills,Flat,9.5,2209,3.0,,1,1,1,430.0,0,0,0,0,0,0,1,48,Green View Homes
swarn kunj,shahpura,Flat,47.0,5875,0.0,East,2,2,2,800.0,0,0,0,0,0,1,1,0,Green View Homes
sector -bh no.4,ashoka garden,House,188.66,12577,3.0,North,4,3,2,1500.0,0,1,0,0,0,0,0,3,Road Facing Homes
faith imperial heights,kolar road,Flat,19.5,2140,2.0,East,2,2,2,911.0,0,0,0,0,0,0,0,53,Green View Homes
mphid dwarika parisar,bagmugaliya,Flat,57.99,4157,4.0,North,3,3,2,1395.0,0,0,0,0,0,0,1,30,Green View Homes
shiv angan,salaiya,Flat,54.99,5045,3.0,North,3,3,3,1090.0,0,0,0,0,0,0,1,28,Green View Homes
ville panache,salaiya,Flat,87.38,5841,6.0,East,3,2,3,1496.0,0,0,0,0,1,0,2,66,Amenity Facing Homes
radha krishna colony,karond,House,46.0,3474,3.0,,3,3,3,1324.0,1,1,0,1,0,0,0,3,Road Facing Homes
amrit bindras pebble bay,bagmugaliya,House,190.8,9540,2.0,North-West,3,3,1,2000.0,1,0,0,1,0,0,1,29,Green View Homes
signature 360,katara hills,Flat,30.06,3333,1.0,South-East,3,2,2,902.0,0,0,0,0,0,0,0,32,Amenity Facing Homes
aradhana nagar,central bhopal,House,225.0,15000,2.0,East,5,4,2,1500.0,1,0,0,1,1,0,2,0,Road Facing Homes
signature 360,katara hills,House,77.0,7700,2.0,East,3,3,2,1000.0,0,0,0,0,0,0,0,19,Amenity Facing Homes
awadhpuri,awadhpuri,House,70.0,8750,2.0,East,3,3,2,800.0,0,0,0,0,0,0,1,16,Green View Homes
nirupam royal palms,hoshangabad road,Flat,66.89,3111,3.0,,4,4,2,2150.0,0,0,0,0,0,1,0,51,Amenity Facing Homes
nirupam royal palms,hoshangabad road,House,120.0,12000,1.0,,4,4,3,1000.0,0,0,0,0,0,0,1,12,Green View Homes
urban river,bawadia kalan,House,75.0,7500,1.0,,3,3,2,1000.0,0,0,0,0,0,0,1,12,Green View Homes
agrawal sagar lakeview homes,ayodhya bypass,Flat,60.0,3896,5.0,North,3,3,3,1540.0,0,0,0,0,0,0,1,54,Green View Homes
sarvadharm colony,kolar road,Flat,32.0,3555,1.0,West,2,2,1,900.0,1,0,0,1,0,0,2,4,Road Facing Homes
rkn nakshatra enclave,awadhpuri,Flat,34.99,3181,5.0,,3,2,1,1100.0,0,0,0,0,0,0,1,29,Road Facing Homes
rajat bihar colony,bagmugaliya,House,135.0,11250,2.0,,3,4,1,1200.0,0,0,0,1,0,0,1,0,Road Facing Homes
ganga jamuna apartments,navi bagh,Flat,13.0,2015,1.0,West,2,1,0,645.0,0,0,0,0,0,0,1,13,Road Facing Homes
globus coral woods,misrod,Flat,67.52,4823,6.0,East,4,4,2,1400.0,0,1,0,0,0,0,0,59,Premium Scenic Homes
ishaan grand estate,misrod,House,48.99,4454,1.0,East,1,1,0,1100.0,0,0,0,0,0,0,1,4,Green View Homes
crystal h singapore city,kolar road,Flat,11.0,1718,2.0,,1,2,2,640.0,0,0,0,0,0,0,1,0,Road Facing Homes
sagar royal villas,hoshangabad road,Flat,39.0,3250,4.0,North-East,3,2,1,1200.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
fast track heavens height,katara hills,Flat,58.0,3222,6.0,East,4,4,3,1800.0,0,0,0,0,0,1,1,59,Amenity Facing Homes
neerja nagar,bhopal,House,533.32,13333,1.0,,6,5,3,4000.0,1,1,0,1,1,0,0,0,Road Facing Homes
gautam nagar,central bhopal,House,220.0,12222,2.0,East,2,2,1,1800.0,0,0,0,0,0,0,1,0,Road Facing Homes
e 4 arera colony,arera colony,House,476.56,15625,1.0,,6,4,3,3050.0,1,1,1,1,0,0,0,69,Road Facing Homes
shrinath sheetal heights,misrod,Flat,29.16,2916,1.0,North,3,3,2,1000.0,0,0,0,0,0,0,1,59,Road Facing Homes
c-block,bhopal,Flat,8.0,1066,1.0,West,2,1,2,750.0,0,0,0,0,0,0,1,5,Road Facing Homes
chinarr dream ct,misrod,Flat,23.0,3194,6.0,,2,2,1,720.0,0,0,0,0,0,0,1,49,Green View Homes
globus fab city,chuna bhatti,House,324.99,19230,2.0,West,3,3,2,1690.0,0,0,0,0,0,0,2,4,Green View Homes
janki nagar,chuna bhatti,House,34.99,2333,2.0,,3,2,0,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
kolar road,kolar road,House,59.01,3471,2.0,West,3,3,0,1700.0,0,0,0,0,0,0,1,34,Premium Scenic Homes
girnar hills,awadhpuri,Flat,17.49,2755,5.0,,2,2,2,635.0,0,0,0,0,0,1,1,33,Premium Scenic Homes
laharpur,bagmuliya,House,375.0,7500,2.0,North,9,9,3,5000.0,1,1,0,1,1,0,1,6,Road Facing Homes
fortune landmark,bawadia kalan,House,323.22,12083,2.0,North,4,4,1,2675.0,1,1,0,1,0,0,0,3,Green View Homes
aashima royal city,hoshangabad road,Flat,42.99,2965,5.0,North,3,2,1,1450.0,0,0,0,0,0,0,1,40,Road Facing Homes
fortune tulip heights,chuna bhatti,Flat,14.0,2212,3.0,,2,1,1,633.0,0,0,0,0,0,0,1,0,Road Facing Homes
housing board colony,shahjahanabad,House,468.94,11884,2.0,North-East,5,5,2,3946.0,1,1,1,1,0,0,1,16,Amenity Facing Homes
indra vihar residency,gandhinagar,Flat,35.0,3684,2.0,,2,1,1,950.0,0,0,0,0,0,1,1,0,Road Facing Homes
fast track heavens height,katara hills,Flat,36.99,2892,2.0,East,3,2,3,1279.0,0,0,0,0,0,0,1,59,Green View Homes
hoshangabad,bhopal,House,36.0,4800,2.0,,4,2,1,750.0,0,0,0,0,0,0,1,32,Road Facing Homes
signature 360,katara hills,Flat,27.58,1770,6.0,,4,4,3,1558.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
ramayan south avenue,katara hills,House,92.0,7360,2.0,North-West,3,3,2,1250.0,1,1,0,1,0,0,0,30,Amenity Facing Homes
barkhedi,neelbad,House,130.0,6500,2.0,,5,2,2,2000.0,0,0,0,0,0,0,1,8,Road Facing Homes
shahid nagar colony,bhopal,House,80.0,3200,2.0,,4,4,2,2500.0,0,0,0,0,0,0,1,0,Road Facing Homes
globus coral woods commercial,hoshangabad road,Flat,60.0,5714,4.0,East,3,2,1,1050.0,0,0,0,0,0,0,0,35,Premium Scenic Homes
lakhumal nikhil nestles,hoshangabad road,House,109.99,8986,2.0,,4,3,1,1224.0,0,0,0,0,0,0,1,73,Green View Homes
sheetal mega city phase 1,mandideep,House,22.5,4017,2.0,South-East,3,2,1,560.0,0,0,0,1,0,0,1,0,Road Facing Homes
ganesh colony,bhopal,House,22.0,3525,1.0,,2,1,0,624.0,0,0,0,0,0,0,1,0,Road Facing Homes
agrawal sagar green hills,kolar road,Flat,55.73,5066,4.0,East,3,3,3,1100.0,0,0,0,0,1,0,1,51,Road Facing Homes
ibd kings park,arera colony,Flat,45.06,3466,2.0,East,4,3,3,1300.0,0,0,0,0,0,0,1,46,Amenity Facing Homes
ayodhya nagar,ayodhya bypass,House,183.99,8363,2.0,,3,3,0,2200.0,0,0,0,0,0,0,1,3,Road Facing Homes
nariyalkheda,karond,House,38.0,6333,3.0,,3,3,3,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
arera colony,arera colony,House,750.0,25000,3.0,,4,4,3,3000.0,0,1,1,0,0,0,1,13,Green View Homes
agrawal sagar premium towers,shirdipuram,Flat,55.0,4867,5.0,,4,3,3,1130.0,0,0,0,0,0,0,1,61,Green View Homes
idgah hills,shahjahanabad,House,120.0,4000,3.0,,9,6,0,3000.0,0,0,0,0,0,0,1,22,Green View Homes
keelandev apartments,central bhopal,Flat,199.99,11331,4.0,East,3,3,2,1765.0,0,1,0,0,0,0,0,35,Amenity Facing Homes
tulsi green tower shivaji nagar,central bhopal,Flat,196.0,9800,8.0,East,4,4,3,2000.0,1,1,0,1,1,0,1,49,Premium Scenic Homes
fortune soumya heritage,misrod,Flat,13.54,2116,0.0,East,2,1,1,640.0,0,0,0,0,0,0,1,73,Green View Homes
janki nagar,chuna bhatti,House,165.58,9199,2.0,West,3,3,2,1800.0,0,0,0,0,0,0,2,0,Road Facing Homes
kalyani kunj tower,khajuri kalan,Flat,24.99,3373,6.0,,2,2,1,741.0,0,0,0,0,0,0,1,27,Road Facing Homes
vardhaman enclave,bhopal,Flat,25.0,3333,1.0,East,2,2,1,750.0,0,0,0,0,0,0,0,0,Road Facing Homes
area colony,arera colony,House,1699.99,40476,2.0,,4,4,3,4200.0,0,1,1,0,0,0,2,0,Road Facing Homes
hoshangabad road,hoshangabad road,House,60.0,8571,2.0,,4,4,1,700.0,0,0,0,0,0,0,1,48,Green View Homes
awadhpuri,awadhpuri,House,309.51,10492,2.0,North,7,5,3,2950.0,0,0,0,1,0,0,0,24,Green View Homes
rishikesh nirmaan the bellaire mint,gandhinagar,Flat,81.66,5833,2.0,,3,2,2,1400.0,0,0,0,0,0,0,2,44,Green View Homes
talaiya,peer gate area,House,64.99,7319,2.0,North-West,4,4,1,888.0,0,0,0,0,0,0,1,0,Road Facing Homes
neeraj nagar bawadia kalan,bhopal,Flat,46.0,5750,2.0,East,2,3,2,800.0,0,0,0,0,0,0,0,6,Road Facing Homes
ripl maple tree,gandhinagar,Flat,80.0,3200,6.0,,4,3,2,2500.0,0,0,0,0,0,0,1,30,Amenity Facing Homes
shakti nagar,habib ganj,House,375.0,9375,2.0,East,4,4,3,4000.0,0,1,0,0,0,0,1,3,Green View Homes
bharat nagar indrapuri,piplani,House,134.16,9583,1.0,West,4,2,0,1400.0,0,0,0,0,1,0,0,10,Green View Homes
janki nagar,chuna bhatti,House,65.0,3421,2.0,,4,4,0,1900.0,0,0,0,0,0,0,1,0,Road Facing Homes
fast track heavens life,katara hills,House,145.66,6333,2.0,,4,4,2,2300.0,0,0,0,0,1,0,1,22,Green View Homes
macker silver estate vertica,katara hills,Flat,30.0,2463,4.0,West,3,2,3,1218.0,0,0,0,0,0,0,1,56,Amenity Facing Homes
ayodhya bypass,ayodhya bypass,House,45.0,6428,2.0,East,2,2,1,700.0,0,0,0,0,0,0,1,7,Green View Homes
hazrat nizamuddin colony,bhopal,House,139.99,8333,2.0,,4,3,1,1680.0,0,0,0,0,0,0,0,26,Road Facing Homes
fortune pride extension,shahpura,House,396.8,12400,3.0,,6,6,3,3200.0,0,0,1,1,0,0,0,31,Green View Homes
fame lalita nagar,lalgathi,House,198.0,9000,3.0,North,6,3,2,2200.0,0,0,0,0,0,0,1,0,Road Facing Homes
crystal ideal city,bhopal,House,79.99,9090,2.0,,3,2,2,880.0,0,0,0,0,0,0,1,4,Road Facing Homes
shree ganesh lotus park,mandideep,House,25.0,3378,1.0,West,2,2,1,740.0,0,0,0,0,0,0,1,21,Green View Homes
aakriti the nest,bawadia kalan,Flat,35.0,5384,2.0,,1,1,1,650.0,0,0,0,0,0,0,1,0,Road Facing Homes
mirchandani shalimar campus,shahpura,Flat,28.26,3230,2.0,West,3,2,3,875.0,0,0,0,0,0,0,0,43,Green View Homes
shangrila housing society,hoshangabad road,House,120.0,12000,2.0,,4,3,2,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
rrg township,misrod,Flat,21.49,2362,4.0,East,2,2,1,910.0,0,0,0,0,0,0,0,72,Green View Homes
shakti nagar,habib ganj,House,200.0,13333,2.0,,6,6,1,1500.0,0,0,0,0,0,0,1,3,Green View Homes
ultimate campus,kolar road,Flat,54.99,3928,6.0,,3,3,0,1400.0,0,0,0,0,0,0,1,71,Green View Homes
ayodhya nagar,ayodhya bypass,House,138.12,5333,1.0,North-East,5,3,1,2590.0,0,0,0,1,0,0,0,22,Road Facing Homes
shridhar mohini parisar,piplani,Flat,28.59,3666,3.0,,2,2,1,780.0,0,0,0,0,0,0,1,36,Road Facing Homes
aryan heights,misrod,Flat,25.0,3571,3.0,North,2,2,2,700.0,0,0,0,0,0,0,1,20,Green View Homes
kidwai manzil,peer gate area,Flat,16.53,2543,1.0,,2,2,2,650.0,0,0,0,0,0,0,1,11,Road Facing Homes
manglam group gokul residency,piplani,House,85.99,7166,1.0,,2,3,0,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
fortune divine city,hoshangabad road,Flat,43.99,4631,4.0,,3,2,0,950.0,0,0,0,0,0,0,1,45,Green View Homes
sivoy,shahpura,House,199.98,9523,2.0,South-East,6,7,3,2100.0,1,1,0,1,0,0,0,5,Road Facing Homes
royal appartment shaja,bhopal,Flat,25.0,4166,2.0,West,2,2,1,600.0,0,0,0,0,0,0,1,30,Green View Homes
queens regency,gandhinagar,Flat,49.99,4347,4.0,,3,2,2,1150.0,0,0,0,0,0,0,0,50,Road Facing Homes
globus coral woods,misrod,Flat,92.99,4823,6.0,,4,3,2,1928.0,0,0,0,0,0,0,2,59,Road Facing Homes
mphidb sapphire park city,katara hills,House,95.0,10894,2.0,North-West,3,2,2,872.0,0,0,0,0,0,0,1,34,Green View Homes
unique residency,bagmugaliya,Flat,59.99,4395,1.0,East,3,3,2,1365.0,0,0,0,0,0,0,1,21,Green View Homes
regal paradise,awadhpuri,House,69.99,7070,2.0,,3,3,2,990.0,0,0,0,1,0,0,1,0,Road Facing Homes
kundan nagar,bagmuliya,Flat,25.0,3846,2.0,North,2,2,1,650.0,0,0,0,0,0,0,1,59,Road Facing Homes
a and a regalia heights,shahjahanabad,Flat,51.99,3851,0.0,,3,2,2,1350.0,0,0,0,0,0,0,1,28,Green View Homes
archana parisar,ayodhya bypass,Flat,30.0,2400,2.0,,3,2,1,1250.0,0,0,0,0,0,1,1,28,Green View Homes
gauri shankar parisar,katara hills,House,40.0,6666,2.0,,3,2,1,600.0,0,0,0,0,0,0,1,48,Green View Homes
vajra towers,bawadia kalan,Flat,90.0,6000,3.0,,3,3,3,1500.0,0,0,0,0,0,0,1,36,Road Facing Homes
chuna bhatti,chuna bhatti,House,249.99,11363,,,4,4,2,2200.0,1,1,1,1,0,0,2,56,Amenity Facing Homes
abbas ahmed nagar,gandhinagar,Flat,10.5,2333,2.0,,2,1,1,450.0,0,0,0,0,0,0,1,0,Road Facing Homes
hig b 60 vidhya nagar,mandideep,House,400.0,15267,2.0,North,3,3,1,2620.0,0,0,0,0,0,0,1,0,Road Facing Homes
globus coral woods,misrod,Flat,55.0,4583,5.0,,3,2,1,1200.0,1,0,0,0,0,0,1,60,Amenity Facing Homes
aryavrat british park,hoshangabad road,House,50.0,5555,1.0,,3,2,0,900.0,0,0,0,0,0,0,1,74,Road Facing Homes
sarvadharm colony,kolar road,House,150.0,12500,2.0,,5,4,0,1200.0,0,0,0,0,0,0,1,4,Road Facing Homes
signature 360,katara hills,House,80.0,8000,2.0,East,3,3,1,1000.0,0,0,0,0,0,0,1,25,Green View Homes
ashoka palace apartment,shahjahanabad,Flat,45.0,5905,3.0,East,3,2,1,762.0,0,0,0,0,0,0,0,14,Road Facing Homes
sarvadharm colony,kolar road,Flat,35.0,5384,1.0,East,2,2,1,650.0,0,0,0,0,0,0,0,42,Road Facing Homes
agrawal sagar golden palm,katara hills,Flat,33.0,2750,0.0,West,3,2,1,1200.0,0,0,0,0,0,0,0,59,Amenity Facing Homes
shree signature the address,bawadia kalan,House,815.51,19417,3.0,West,5,5,2,4200.0,1,1,0,1,1,0,0,34,Premium Scenic Homes
ibd royal citii,salaiya,Flat,27.0,2186,3.0,East,3,3,2,1235.0,0,0,0,0,1,0,1,33,Green View Homes
individual house,central bhopal,House,100.0,9950,2.0,,6,4,0,1005.0,0,0,0,0,0,0,1,0,Road Facing Homes
ews sai apartment,gandhinagar,Flat,7.4,2000,1.0,,1,1,1,370.0,0,0,0,0,0,0,0,0,Road Facing Homes
agrawal sagar premium towers,shirdipuram,House,90.0,9000,2.0,,6,10,0,1000.0,0,0,0,0,0,0,1,61,Green View Homes
anmol maple tree phase 2,gandhinagar,Flat,51.0,4636,3.0,,3,2,1,1100.0,0,0,0,0,0,0,1,51,Premium Scenic Homes
bypass road,bypass road,House,32.0,7111,1.0,,1,1,0,450.0,0,0,0,0,0,0,1,0,Green View Homes
topaz,arera colony,Flat,74.56,4000,5.0,East,4,3,2,1864.0,0,1,0,1,0,0,1,46,Green View Homes
e 5 arera colony,arera colony,House,751.03,21458,2.0,North,6,5,2,3500.0,0,0,0,0,0,0,1,24,Road Facing Homes
himanshu sheetal tower,lalgathi,Flat,65.0,3250,6.0,East,4,3,3,2000.0,0,0,0,0,0,0,1,19,Road Facing Homes
rajat bihar colony,bagmugaliya,House,145.0,12083,,South,4,4,2,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
ag8 aakriti flamingo 3,arera colony,House,127.0,12700,1.0,East,3,3,2,1000.0,0,0,0,0,0,0,1,12,Green View Homes
kalpana nagar,piplani,House,54.9,3050,2.0,South,4,4,1,1800.0,0,0,0,0,0,0,1,5,Road Facing Homes
ab smart city phase 1,bagmugaliya,Flat,34.99,5223,2.0,,2,2,0,670.0,0,0,0,0,0,0,1,31,Road Facing Homes
sant asharam nagar phase 3,bagmuliya,House,134.99,9642,2.0,North-East,5,5,3,1400.0,0,1,0,0,0,0,1,0,Road Facing Homes
simran residency,govindpura,Flat,23.0,2875,3.0,,2,2,2,800.0,0,0,0,1,1,0,0,55,Road Facing Homes
bawadia kalan,bawadia kalan,House,174.99,12367,,North-West,4,3,2,1415.0,1,1,1,1,0,0,2,56,Green View Homes
yashoda apartment,habib ganj,Flat,25.0,4545,2.0,,2,2,1,550.0,0,0,0,0,0,0,0,0,Road Facing Homes
bagmugaliya,bagmugaliya,House,91.99,7829,2.0,West,3,3,2,1175.0,1,0,0,0,1,0,0,28,Green View Homes
bima kunj,kolar road,House,94.28,7857,2.0,North-East,3,3,2,1200.0,0,0,0,1,0,0,1,42,Road Facing Homes
unitech unihomes,kolar road,Flat,24.95,2543,1.0,North,3,2,3,981.0,0,0,0,0,0,0,1,41,Green View Homes
nirupam royal palms,hoshangabad road,Flat,48.0,3168,1.0,,3,2,2,1515.0,0,0,0,0,0,0,0,69,Premium Scenic Homes
fortune signature,bawadia kalan,Flat,71.44,6054,5.0,,3,3,2,1180.0,0,0,0,0,0,0,1,51,Amenity Facing Homes
green meados,central bhopal,House,334.28,16071,3.0,South,4,3,2,2080.0,0,0,0,0,0,0,1,12,Green View Homes
aakriti aqua city,hoshangabad road,House,78.25,4347,2.0,East,3,3,2,1800.0,0,0,0,0,0,0,0,4,Green View Homes
amrawad khurd,awadhpuri,House,214.27,8928,2.0,West,4,3,2,2400.0,1,0,0,0,0,0,0,12,Green View Homes
agrawal sagar green hills,gehu kheda,Flat,70.0,5185,3.0,,3,2,1,1350.0,0,0,0,0,0,0,2,31,Road Facing Homes
ibd hallmark citii,chuna bhatti,Flat,25.0,2439,5.0,,3,3,3,1025.0,0,0,0,0,0,0,1,15,Green View Homes
nikhil bunglows phase 3,bawadia kalan,Flat,37.99,5066,2.0,West,2,2,1,750.0,0,0,0,0,0,0,2,13,Road Facing Homes
misrod,misrod,House,55.0,9166,3.0,,5,5,3,600.0,0,0,0,0,0,0,1,23,Green View Homes
siddharth enclave,piplani,Flat,16.5,3273,3.0,East,2,2,2,504.0,0,0,0,0,0,0,1,21,Road Facing Homes
aadhhaar symphony,kolar road,Flat,41.99,2470,5.0,,3,3,3,1700.0,0,0,0,0,0,0,1,20,Road Facing Homes
ruchi lifescape,misrod,House,128.56,7142,2.0,North,4,4,2,1800.0,0,0,0,1,0,0,1,16,Amenity Facing Homes
navaakar parke serene,gehu kheda,Flat,10.0,2000,5.0,North,1,1,0,500.0,0,0,0,0,0,0,1,32,Road Facing Homes
hari siddhi,bhopal,Flat,22.5,4113,1.0,,2,2,1,547.0,0,0,0,0,0,0,1,5,Road Facing Homes
janki nagar,chuna bhatti,House,65.0,6190,1.0,,3,2,0,1050.0,0,0,0,0,0,0,1,0,Road Facing Homes
sterling globe grand,hoshangabad road,Flat,99.95,10521,1.0,South-East,2,1,1,950.0,0,0,0,0,0,0,1,18,Road Facing Homes
sarvadharm colony,kolar road,Flat,21.0,3853,2.0,,2,2,1,545.0,0,0,0,0,0,0,1,42,Road Facing Homes
rudraksh kasturi,salaiya,Flat,54.99,3666,1.0,East,3,2,2,1500.0,0,0,0,0,0,0,1,41,Green View Homes
